Index,X Axis,V(OUT)
1,1.0000000000000002,3.935384382547939E-4-5.698404622074585E-7j
2,1.1220184543019636,3.9353822451541E-4-6.393711671953664E-7j
3,1.258925411794167,3.9353795543226906E-4-7.173857580069278E-7j
4,1.412537544622754,3.9353761667319163E-4-8.04919366141162E-7j
5,1.584893192461113,3.9353719020613585E-4-9.031334038914474E-7j
6,1.7782794100389219,3.935366533157555E-4-1.013330962782445E-6j
7,1.9952623149688786,3.9353597741289723E-4-1.1369740869091782E-6j
8,2.238721138568338,3.935351265026704E-4-1.2757031479724902E-6j
9,2.5118864315095784,3.935340552801141E-4-1.431358576244098E-6j
10,2.818382931264451,3.9353270669603506E-4-1.6060052312206413E-6j
11,3.162277660168376,3.9353100894238174E-4-1.8019597296911772E-6j
12,3.5481338923357506,3.9352887162047824E-4-2.0218210848253727E-6j
13,3.981071705534968,3.935261809231361E-4-2.2685050507922E-6j
14,4.466835921509626,3.935227935860178E-4-2.545282611673551E-6j
15,5.0118723362727176,3.935185292698583E-4-2.855823101000107E-6j
16,5.623413251903484,3.935131609384882E-4-3.2042424893301646E-6j
17,6.3095734448019245,3.9350640282391654E-4-3.5951574336995187E-6j
18,7.07945784384137,3.9349789518953836E-4-4.033745735673817E-6j
19,7.943282347242803,3.934871852335223E-4-4.525813915957065E-6j
20,8.912509381337442,3.9347370302606274E-4-5.077872664805145E-6j
21,9.999999999999984,3.934567312530546E-4-5.697220977829469E-6j
22,11.220184543019615,3.9343536713616324E-4-6.392039821675756E-6j
23,12.58925411794165,3.934084746030651E-4-7.1714961917362E-6j
24,14.125375446227517,3.933746241425973E-4-8.045858401870876E-6j
25,15.848931924611104,3.933320172260437E-4-9.026623375257738E-6j
26,17.782794100389193,3.932783914214728E-4-1.0126656555244687E-5j
27,19.952623149688755,3.9321090132743436E-4-1.1360344783694179E-5j
28,22.387211385683347,3.9312596928090844E-4-1.2743762053244712E-5j
29,25.118864315095742,3.9301909835135596E-4-1.4294847348130461E-5j
30,28.18382931264447,3.928846384511492E-4-1.6033592748943486E-5j
31,31.622776601683718,3.9271549428118296E-4-1.7982238429196164E-5j
32,35.481338923357455,3.9250276146188473E-4-2.0165468930279238E-5j
33,39.81071705534962,3.9223527434733104E-4-2.261060187207854E-5j
34,44.66835921509619,3.9189904620652127E-4-2.534775571459331E-5j
35,50.11872336272709,3.914765791836122E-4-2.8409976793379883E-5j
36,56.234132519034745,3.90946018674322E-4-3.183329704527019E-5j
37,63.09573444801913,3.902801248791722E-4-3.565668184796694E-5j
38,70.79457843841357,3.894450342982987E-4-3.992181133374328E-5j
39,79.43282347242788,3.883987877023254E-4-4.467261750033564E-5j
40,89.12509381337425,3.8708961120431537E-4-4.995447266135344E-5j
41,99.99999999999966,3.8545395762974645E-4-5.58128920856289E-5j
42,112.20184543019595,3.834143516899097E-4-6.229157607884849E-5j
43,125.89254117941627,3.808771425538853E-4-6.942957798562883E-5j
44,141.2537544622749,3.777303597488569E-4-7.725735254056581E-5j
45,158.48931924611077,3.738420026278117E-4-8.57914289430033E-5j
46,177.8279410038916,3.6905927572258987E-4-9.50274904466741E-5j
47,199.5262314968872,3.6320950745724444E-4-1.0493176542051162E-4j
48,223.87211385683307,3.561037322438717E-4-1.1543089483952635E-4j
49,251.188643150957,3.4754410951002375E-4-1.2640089182293823E-4j
50,281.8382931264442,3.373363781022244E-4-1.3765648397398862E-4j
51,316.2277660168366,3.253082186004751E-4-1.489429946977369E-4j
52,354.81338923357396,3.113335092566387E-4-1.5993380772482422E-4j
53,398.1071705534955,2.953608700285482E-4-1.702370085810989E-4j
54,446.68359215096115,2.7744269146722026E-4-1.7941446466401354E-4j
55,501.18723362726996,2.577585739852025E-4-1.8701483813248014E-4j
56,562.3413251903464,2.3662578583803835E-4-1.9261863566884393E-4j
57,630.9573444801902,2.1449021031465094E-4-1.9588901474839682E-4j
58,707.9457843841343,1.9189499685964243E-4-1.9661829664462167E-4j
59,794.3282347242774,1.6943012270182384E-4-1.9475903738669804E-4j
60,891.2509381337409,1.476721430290297E-4-1.904313738893975E-4j
61,999.9999999999948,1.2712679294009697E-4-1.8390459984028877E-4j
62,1122.0184543019575,1.0818610378003259E-4-1.7555803985024095E-4j
63,1258.9254117941605,9.110682205992269E-5-1.658312623918289E-4j
64,1412.5375446227465,7.601054247886947E-5-1.5517474418369077E-4j
65,1584.8931924611045,6.290077585392754E-5-1.4400959216447054E-4j
66,1778.2794100389126,5.168970840641305E-5-1.327006413806189E-4j
67,1995.262314968868,4.222764011241255E-5-1.2154315544485593E-4j
