Index,X Axis,ONOISE,INOISE
1,1.0000000000000002,5.190504145199681E-4,3.516735419490453E-10
2,1.0232929922807543,5.063662291033758E-4,3.430796276084924E-10
3,1.0471285480508996,4.939925096483414E-4,3.346960639558349E-10
4,1.0715193052376064,4.819216453370497E-4,3.265176944393474E-10
5,1.096478196143185,4.7014621220503063E-4,3.185394890982069E-10
6,1.1220184543019633,4.586589685357816E-4,3.107565414504992E-10
7,1.1481536214968826,4.474528503806903E-4,3.031640654578287E-10
8,1.1748975549395295,4.3652096718922793E-4,2.9575739256463857E-10
9,1.2022644346174127,4.258565975366539E-4,2.885319688104043E-10
10,1.2302687708123812,4.154531849972977E-4,2.8148335201290243E-10
11,1.2589254117941668,4.053043340488311E-4,2.746072090208042E-10
12,1.2882495516931336,3.9540380613809373E-4,2.678993130338846E-10
13,1.3182567385564068,3.8574551585043783E-4,2.613555409891835E-10
14,1.348962882591653,3.7632352707237443E-4,2.549718710114898E-10
15,1.3803842646028843,3.6713204941335757E-4,2.487443799265668E-10
16,1.4125375446227537,3.581654345442681E-4,2.426692408355719E-10
17,1.4454397707459268,3.49418172767407E-4,2.367427207491622E-10
18,1.4791083881682068,3.40884889567156E-4,2.3096117827981705E-10
19,1.5135612484362073,3.325603423211704E-4,2.25321061390942E-10
20,1.5488166189124803,3.2443941701202955E-4,2.1981890520135575E-10
21,1.5848931924611125,3.1651712513748847E-4,2.1445132984379555E-10
22,1.621810097358929,3.0878860056453826E-4,2.0921503837611113E-10
23,1.6595869074375595,3.012490965463657E-4,2.0410681474384722E-10
24,1.6982436524617432,2.9389398279610143E-4,1.9912352179295218E-10
25,1.7378008287493742,2.8671874261818547E-4,1.94262099331374E-10
26,1.7782794100389214,2.7971897011116987E-4,1.8951956223834284E-10
27,1.8197008586099819,2.7289036745944565E-4,1.8489299862016376E-10
28,1.862087136662866,2.662287422648597E-4,1.8037956801137387E-10
29,1.9054607179632455,2.5973000497004603E-4,1.7597649962014945E-10
