Index,X Axis,V(OUT),V(INP)
1,0.0,0.19998186276666846,0.2
2,5.0000000000000005E-12,0.19998186276666846,0.2
3,1.5E-11,0.19998186276666846,0.2
4,3.500000000000001E-11,0.19998186276666846,0.2
5,7.500000000000001E-11,0.19998186276666846,0.2
6,1.5500000000000003E-10,0.19998186276666846,0.2
7,3.150000000000001E-10,0.19998186276666846,0.2
8,6.350000000000001E-10,0.19998186276666846,0.2
9,1.275E-9,0.19998186276666846,0.2
10,2.555E-9,0.19998186276666846,0.2
11,5.115000000000001E-9,0.19998186276666846,0.2
12,1.0235E-8,0.19998186276666846,0.2
13,2.0475000000000003E-8,0.19998186276666846,0.2
14,4.0955E-8,0.19998186276666846,0.2
15,8.1915E-8,0.19998186276666846,0.2
16,1.6383499999999998E-7,0.19998186276666846,0.2
17,3.27675E-7,0.19998186276666846,0.2
18,6.55355E-7,0.19998186276666846,0.2
19,1.3107150000000002E-6,0.19998186276666294,0.2
20,2.6214350000000008E-6,0.19998186276666957,0.2
21,5.242875E-6,0.19998186276668284,0.2
22,1.0485755000000002E-5,0.19998186276670937,0.2
23,2.0E-5,0.19998186276675753,0.2
24,2.0000184446986616E-5,0.20013063215688875,0.3106681919693074
25,2.0000359778570866E-5,0.20026379882356773,0.4158671425197099
26,2.000071044173937E-5,0.20046306744700146,0.6262650436226977
27,2.0001E-5,0.20050439090286892,0.8
28,2.000119120563902E-5,0.20047107469957579,0.8
29,2.0001369720642597E-5,0.20043931855588387,0.8
30,2.0001726750649756E-5,0.20037493652549226,0.8
31,2.0002440810664073E-5,0.200240042905146,0.8
32,2.000386893069271E-5,0.19996553722497165,0.8
33,2.0006725170749978E-5,0.1994636260593184,0.8
34,2.0012437650864524E-5,0.19877399755968747,0.8
35,2.0023862611093606E-5,0.19874383968320058,0.8
36,2.0046712531551774E-5,0.20347559261714238,0.8
37,2.0092412372468112E-5,0.2264189311578167,0.8
38,2.0183812054300786E-5,0.29790577118449074,0.8
39,2.0364455961901516E-5,0.46211095332642566,0.8
40,2.0512522014772492E-5,0.5918894103165833,0.8
41,2.074637059949677E-5,0.7401454900110807,0.8
42,2.098772402152237E-5,0.7986071260936283,0.8
43,2.1294305213382576E-5,0.8036225285551305,0.8
44,2.1887763811291124E-5,0.8004028285683348,0.8
45,2.307468100710823E-5,0.8017526803375026,0.8
46,2.5448515398742433E-5,0.800865518996368,0.8
47,3.0196184182010843E-5,0.8015862363589826,0.8
48,3.969152174854766E-5,0.800939027628528,0.8
49,4.0001000000000005E-5,0.8012203084922127,0.8
50,4.000118444698662E-5,0.8011429229498347,0.6893318080285098
51,4.000135977857087E-5,0.8010589511496333,0.5841328574781073
52,4.000171044173937E-5,0.8008748262656792,0.3737349563773023
53,4.0002E-5,0.8007971187774495,0.2
54,4.0002199281422216E-5,0.800807524061349,0.2
55,4.000238152732852E-5,0.8008167326901641,0.2
56,4.000274601914115E-5,0.8008345027074546,0.2
