# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN) W(GDSN)
3.10000000000e-01 2.63853244352e+01 4.03367574620e-08 3.24232666685e-03 2.12661575567e-10 2.10811334021e-10 3.93571399076e-10 3.46866387282e+00 4.10274461284e-02 1.19537359817e-08
3.20000000000e-01 2.57920835852e+01 5.23608673345e-08 3.57684253875e-03 2.12671048752e-10 2.10902561564e-10 3.93825768608e-10 3.53529077151e+00 4.19778160090e-02 1.52246243245e-08
3.30000000000e-01 2.51719598410e+01 6.75579195360e-08 3.91454077390e-03 2.12679875575e-10 2.10992860398e-10 3.94129618694e-10 3.61067955306e+00 4.31282653874e-02 1.92332294634e-08
3.40000000000e-01 2.45258434509e+01 8.66152366744e-08 4.25227203088e-03 2.12688104905e-10 2.11081952919e-10 3.94484826329e-10 3.69560339533e+00 4.45014049381e-02 2.40920542097e-08
3.50000000000e-01 2.38547493275e+01 1.10318882331e-07 4.58709599586e-03 2.12695781808e-10 2.11169564129e-10 3.94893354166e-10 3.79074643424e+00 4.61172228126e-02 2.99150691345e-08
3.60000000000e-01 2.31604023107e+01 1.39552492551e-07 4.91634260741e-03 2.12702947820e-10 2.11255426507e-10 3.95357280324e-10 3.89663237905e+00 4.79921392138e-02 3.68140040362e-08
3.70000000000e-01 2.24457526455e+01 1.75292039917e-07 5.23765929405e-03 2.12709641204e-10 2.11339284892e-10 3.95878834136e-10 4.01355859787e+00 5.01384017149e-02 4.48949487092e-08
3.80000000000e-01 2.17152175890e+01 2.18597049166e-07 5.54904252550e-03 2.12715897198e-10 2.11420901165e-10 3.96460436552e-10 4.14155061351e+00 5.25638884811e-02 5.42558053887e-08
3.90000000000e-01 2.09745483580e+01 2.70599357176e-07 5.84885317816e-03 2.12721748248e-10 2.11500058527e-10 3.97104743576e-10 4.28034769242e+00 5.52723045013e-02 6.49849224696e-08
4.00000000000e-01 2.02303633417e+01 3.32490736541e-07 6.13581649966e-03 2.12727224222e-10 2.11576565198e-10 3.97814691215e-10 4.42942232420e+00 5.82636841479e-02 7.71609120819e-08
4.10000000000e-01 1.94894980896e+01 4.05510504369e-07 6.40900854406e-03 2.12732352621e-10 2.11650257362e-10 3.98593540798e-10 4.58802799668e+00 6.15350718923e-02 9.08533492785e-08
4.20000000000e-01 1.87583570516e+01 4.90933732435e-07 6.66783168954e-03 2.12737158762e-10 2.11721001267e-10 3.99444924017e-10 4.75526375045e+00 6.50812486531e-02 1.06123888954e-07
4.30000000000e-01 1.80424142940e+01 5.90060096921e-07 6.91198220457e-03 2.12741665960e-10 2.11788694405e-10 4.00372887432e-10 4.93014204535e+00 6.88953973151e-02 1.23027360590e-07
4.40000000000e-01 1.73459349927e+01 7.04202983706e-07 7.14141283669e-03 2.12745895687e-10 2.11853265771e-10 4.01381936614e-10 5.11164825559e+00 7.29696428214e-02 1.41612565999e-07
4.50000000000e-01 1.66719154087e+01 8.34678320582e-07 7.35629313839e-03 2.12749867724e-10 2.11914675250e-10 4.02477080350e-10 5.29878422608e+00 7.72954447925e-02 1.61922720346e-07
4.60000000000e-01 1.60221903799e+01 9.82792730665e-07 7.55696981549e-03 2.12753600302e-10 2.11972912211e-10 4.03663875546e-10 5.49059304975e+00 8.18638534818e-02 1.83995657057e-07
4.70000000000e-01 1.53976392932e+01 1.14983089337e-06 7.74392887256e-03 2.12757110225e-10 2.12027993444e-10 4.04948473594e-10 5.68616622508e+00 8.66656589322e-02 2.07864016285e-07
4.80000000000e-01 1.47984267800e+01 1.33704233267e-06 7.91776081172e-03 2.12760412994e-10 2.12079960577e-10 4.06337669022e-10 5.88463691712e+00 9.16914694328e-02 2.33555650400e-07
4.90000000000e-01 1.42242317136e+01 1.54562812247e-06 8.07912966576e-03 2.12763522907e-10 2.12128877131e-10 4.07838951291e-10 6.08516409061e+00 9.69317524479e-02 2.61094431819e-07
5.00000000000e-01 1.36744379315e+01 1.77672814961e-06 8.22874624490e-03 2.12766453166e-10 2.12174825360e-10 4.09460560562e-10 6.28691212919e+00 1.02376863346e-01 2.90501571118e-07
5.10000000000e-01 1.31482767963e+01 2.03140959403e-06 8.36734565995e-03 2.12769215961e-10 2.12217903028e-10 4.11211548278e-10 6.48902966464e+00 1.08017078005e-01 3.21797475259e-07
5.20000000000e-01 1.26449230917e+01 2.31065719458e-06 8.49566895428e-03 2.12771822556e-10 2.12258220233e-10 4.13101843340e-10 6.69063015541e+00 1.13842636992e-01 3.55004115786e-07
5.30000000000e-01 1.21635519650e+01 2.61536570603e-06 8.61444852273e-03 2.12774283364e-10 2.12295896383e-10 4.15142324669e-10 6.89077559537e+00 1.19843802667e-01 3.90147843327e-07
5.40000000000e-01 1.17033668737e+01 2.94633475797e-06 8.72439690613e-03 2.12776608019e-10 2.12331057398e-10 4.17344900882e-10 7.08846378434e+00 1.26010926474e-01 4.27262578458e-07
5.50000000000e-01 1.12636081993e+01 3.30426613485e-06 8.82619851029e-03 2.12778805434e-10 2.12363833183e-10 4.19722597842e-10 7.28261891979e+00 1.32334521656e-01 4.66393325884e-07
5.60000000000e-01 1.08435505735e+01 3.68976333228e-06 8.92050379531e-03 2.12780883864e-10 2.12394355419e-10 4.22289654779e-10 7.47208486791e+00 1.38805336145e-01 5.07599992994e-07
5.70000000000e-01 1.04424949006e+01 4.10333312215e-06 9.00792550321e-03 2.12782850960e-10 2.12422755655e-10 4.25061629718e-10 7.65562029634e+00 1.45414420897e-01 5.50961539435e-07
5.80000000000e-01 1.00597590723e+01 4.54538878114e-06 9.08903652896e-03 2.12784713810e-10 2.12449163728e-10 4.28055514912e-10 7.83189484380e+00 1.52153190021e-01 5.96580536994e-07
5.90000000000e-01 9.69466972414e+00 5.01625460204e-06 9.16436908569e-03 2.12786478994e-10 2.12473706471e-10 4.31289862974e-10 7.99948561043e+00 1.59013470340e-01 6.44588276348e-07
6.00000000000e-01 9.34655615701e+00 5.51617130620e-06 9.23441486284e-03 2.12788152617e-10 2.12496506696e-10 4.34784924380e-10 8.15687343738e+00 1.65987539181e-01 6.95150618908e-07
6.10000000000e-01 9.01474672319e+00 6.04530200033e-06 9.29962592353e-03 2.12789740350e-10 2.12517682435e-10 4.38562796989e-10 8.30243867838e+00 1.73068150267e-01 7.48474859774e-07
6.20000000000e-01 8.69856747721e+00 6.60373836173e-06 9.36041613119e-03 2.12791247461e-10 2.12537346383e-10 4.42647588157e-10 8.43445644058e+00 1.80248548334e-01 8.04817945169e-07
6.30000000000e-01 8.39734264264e+00 7.19150678442e-06 9.41716293564e-03 2.12792678850e-10 2.12555605538e-10 4.47065589954e-10 8.55109158715e+00 1.87522473604e-01 8.64496479887e-07
6.40000000000e-01 8.11039635919e+00 7.80857426845e-06 9.47020938295e-03 2.12794039076e-10 2.12572560995e-10 4.51845467849e-10 8.65039416283e+00 1.94884157574e-01 9.27899073521e-07
6.50000000000e-01 7.83705519035e+00 8.45485388047e-06 9.51986624349e-03 2.12795332384e-10 2.12588307868e-10 4.57018463101e-10 8.73029634597e+00 2.02328311675e-01 9.95501716558e-07
6.60000000000e-01 7.57665094136e+00 9.13020965291e-06 9.56641417707e-03 2.12796562726e-10 2.12602935317e-10 4.62618608824e-10 8.78861256997e+00 2.09850110353e-01 1.06788705766e-06
6.70000000000e-01 7.32852342764e+00 9.83446081880e-06 9.61010587472e-03 2.12797733787e-10 2.12616526658e-10 4.68682959430e-10 8.82304511631e+00 2.17445170008e-01 1.14576868179e-06
6.80000000000e-01 7.09202292445e+00 1.05673853005e-05 9.65116813307e-03 2.12798849005e-10 2.12629159534e-10 4.75251832751e-10 8.83119827332e+00 2.25109525078e-01 1.23002177545e-06
6.90000000000e-01 6.86651210968e+00 1.13287223804e-05 9.68980383084e-03 2.12799911587e-10 2.12640906129e-10 4.82369063673e-10 8.81060506535e+00 2.32839602358e-01 1.32172191960e-06
7.00000000000e-01 6.65136737699e+00 1.21181744844e-05 9.72619378720e-03 2.12800924526e-10 2.12651833421e-10 4.90082267470e-10 8.75877152723e+00 2.40632194478e-01 1.42219417735e-06
7.10000000000e-01 6.44597944747e+00 1.29354079976e-05 9.76049849033e-03 2.12801890622e-10 2.12662003454e-10 4.98443110320e-10 8.67324438462e+00 2.48484433244e-01 1.53307513738e-06
7.20000000000e-01 6.24975324610e+00 1.37800530190e-05 9.79285969049e-03 2.12802812490e-10 2.12671473614e-10 5.07507583513e-10 8.55170853621e+00 2.56393763438e-01 1.65639110893e-06
7.30000000000e-01 6.06210703967e+00 1.46517019349e-05 9.82340185731e-03 2.12803692577e-10 2.12680296918e-10 5.17336276821e-10 8.39212048066e+00 2.64357917466e-01 1.79465617528e-06
7.40000000000e-01 5.88247086271e+00 1.55499066606e-05 9.85223350432e-03 2.12804533173e-10 2.12688522300e-10 5.27994645139e-10 8.19288215216e+00 2.72374891191e-01 1.95099416843e-06
7.50000000000e-01 5.71028429549e+00 1.64741743706e-05 9.87944838702e-03 2.12805336423e-10 2.12696194887e-10 5.39553261038e-10 7.95305571577e+00 2.80442921130e-01 2.12928858678e-06
7.60000000000e-01 5.54499371522e+00 1.74239615063e-05 9.90512658276e-03 2.12806104338e-10 2.12703356271e-10 5.52088044109e-10 7.67261290179e+00 2.88560463157e-01 2.33436362865e-06
7.70000000000e-01 5.38604923285e+00 1.83986658389e-05 9.92933546275e-03 2.12806838800e-10 2.12710044768e-10 5.65680456026e-10 7.35270193376e+00 2.96726172772e-01 2.57219721511e-06
7.80000000000e-01 5.23290166760e+00 1.93976163815e-05 9.95213056758e-03 2.12807541578e-10 2.12716295661e-10 5.80417648131e-10 6.99590146851e+00 3.04938886957e-01 2.85016219203e-06
7.90000000000e-01 5.08500011518e+00 2.04200610226e-05 9.97355639941e-03 2.12808214332e-10 2.12722141437e-10 5.96392546020e-10 6.60641635423e+00 3.13197607595e-01 3.17728364822e-06
8.00000000000e-01 4.94179093231e+00 2.14651519213e-05 9.99364714457e-03 2.12808858619e-10 2.12727612002e-10 6.13703853326e-10 6.19015884921e+00 3.21501486401e-01 3.56448724889e-06
8.10000000000e-01 4.80271926433e+00 2.25319290129e-05 1.00124273416e-02 2.12809475904e-10 2.12732734885e-10 6.32455954540e-10 5.75465772019e+00 3.29849811302e-01 4.02479504456e-06
8.20000000000e-01 4.66723450156e+00 2.36193024543e-05 1.00299125104e-02 2.12810067564e-10 2.12737535431e-10 6.52758694756e-10 5.30875311615e+00 3.38241994139e-01 4.57340256827e-06
8.30000000000e-01 4.53480110394e+00 2.47260355099e-05 1.00461097596e-02 2.12810634895e-10 2.12742036975e-10 6.74727012629e-10 4.86207071518e+00 3.46677559581e-01 5.22754897556e-06
8.40000000000e-01 4.40491584490e+00 2.58507301816e-05 1.00610183880e-02 2.12811179114e-10 2.12746261007e-10 6.98480402117e-10 4.42432017321e+00 3.55156135080e-01 6.00608064924e-06
8.50000000000e-01 4.27713144245e+00 2.69918186560e-05 1.00746304986e-02 2.12811701370e-10 2.12750227322e-10 7.24142178909e-10 4.00451644027e+00 3.63677441667e-01 6.92862344761e-06
8.60000000000e-01 4.15108467070e+00 2.81475640772e-05 1.00869316416e-02 2.12812202746e-10 2.12753954161e-10 7.51838529277e-10 3.61025760153e+00 3.72241285407e-01 8.01433548135e-06
8.70000000000e-01 4.02652467628e+00 2.93160738695e-05 1.00979015033e-02 2.12812684259e-10 2.12757458337e-10 7.81697322626e-10 3.24719167334e+00 3.80847549288e-01 9.28031623425e-06
8.80000000000e-01 3.90333521073e+00 3.04953275068e-05 1.01075146545e-02 2.12813146873e-10 2.12760755356e-10 8.13846674432e-10 2.91876264163e+00 3.89496185420e-01 1.07398796733e-05
8.90000000000e-01 3.78154404560e+00 3.16832182595e-05 1.01157413740e-02 2.12813591494e-10 2.12763859523e-10 8.48413253716e-10 2.62625654617e+00 3.98187207444e-01 1.24010093208e-05
9.00000000000e-01 3.66131487062e+00 3.28776055364e-05 1.01225485549e-02 2.12814018978e-10 2.12766784044e-10 8.85520338541e-10 2.36909767528e+00 4.06920683214e-01 1.42653393294e-05
9.10000000000e-01 3.54292127250e+00 3.40763719173e-05 1.01279007013e-02 2.12814430133e-10 2.12769541113e-10 9.25285634392e-10 2.14529809685e+00 4.15696727848e-01 1.63279098858e-05
9.20000000000e-01 3.42670736324e+00 3.52774778081e-05 1.01317610164e-02 2.12814825724e-10 2.12772142000e-10 9.67818883525e-10 1.95195273260e+00 4.24515497346e-01 1.85777503824e-05
9.30000000000e-01 3.31304309262e+00 3.64790073129e-05 1.01340925775e-02 2.12815206471e-10 2.12774597122e-10 1.01321930837e-09 1.78569224843e+00 4.33377182935e-01 2.09991294555e-05
9.40000000000e-01 3.20228282136e+00 3.76792011193e-05 1.01348595854e-02 2.12815573057e-10 2.12776916120e-10 1.06157294821e-09 1.64304190249e+00 4.42282006238e-01 2.35731673628e-05
9.50000000000e-01 3.09473351166e+00 3.88764750333e-05 1.01340286691e-02 2.12815926126e-10 2.12779107912e-10 1.11294996478e-09 1.52067011659e+00 4.51230215292e-01 2.62794796322e-05
9.60000000000e-01 2.99063532202e+00 4.00694253307e-05 1.01315702178e-02 2.12816266289e-10 2.12781180760e-10 1.16740200744e-09 1.41553596659e+00 4.60222081349e-01 2.90975952177e-05
9.70000000000e-01 2.89015408788e+00 4.12568236934e-05 1.01274597061e-02 2.12816594123e-10 2.12783142319e-10 1.22495974072e-09 1.32495756431e+00 4.69257896340e-01 3.20080128692e-05
9.80000000000e-01 2.79338310015e+00 4.24376050699e-05 1.01216789703e-02 2.12816910176e-10 2.12784999686e-10 1.28563064419e-09 1.24662597976e+00 4.78337970853e-01 3.49928718444e-05
9.90000000000e-01 2.70035089585e+00 4.36108515780e-05 1.01142173923e-02 2.12817214967e-10 2.12786759444e-10 1.34939719551e-09 1.17858615789e+00 4.87462632523e-01 3.80362877029e-05
1.00000000000e+00 2.61103205986e+00 4.47757749199e-05 1.01050729443e-02 2.12817508986e-10 2.12788427704e-10 1.41621554083e-09 1.11920087191e+00 4.96632224697e-01 4.11244368343e-05
1.01000000000e+00 2.52535878838e+00 4.59316990247e-05 1.00942530492e-02 2.12817792701e-10 2.12790010141e-10 1.48601474231e-09 1.06710839288e+00 5.05847105308e-01 4.42454755676e-05
1.02000000000e+00 2.44323178755e+00 4.70780439496e-05 1.00817752185e-02 2.12818066553e-10 2.12791512027e-10 1.55869667015e-09 1.02118025511e+00 5.15107645893e-01 4.73893654807e-05
1.03000000000e+00 2.36452976420e+00 4.82143115520e-05 1.00676674340e-02 2.12818330962e-10 2.12792938267e-10 1.63413657830e-09 9.80482466708e-01 5.24414230731e-01 5.05476571032e-05
1.04000000000e+00 2.28911724427e+00 4.93400730923e-05 1.00519682549e-02 2.12818586329e-10 2.12794293422e-10 1.71218436985e-09 9.44241579797e-01 5.33767256053e-01 5.37132660431e-05
1.05000000000e+00 2.21685074591e+00 5.04549587119e-05 1.00347266401e-02 2.12818833031e-10 2.12795581737e-10 1.79266652320e-09 9.11815907884e-01 5.43167129335e-01 5.68802613312e-05
1.06000000000e+00 2.14758348435e+00 5.15586486166e-05 1.00160014927e-02 2.12819071429e-10 2.12796807169e-10 1.87538861636e-09 8.82671586883e-01 5.52614268649e-01 6.00436758231e-05
1.07000000000e+00 2.08116884370e+00 5.26508657505e-05 9.99586094514e-03 2.12819301865e-10 2.12797973404e-10 1.96013835644e-09 8.56362914988e-01 5.62109102063e-01 6.31993421557e-05
1.08000000000e+00 2.01746285550e+00 5.37313697352e-05 9.97438141617e-03 2.12819524667e-10 2.12799083879e-10 2.04668899780e-09 8.32516332127e-01 5.71652067106e-01 6.63437540624e-05
1.09000000000e+00 1.95632590155e+00 5.47999518663e-05 9.95164648112e-03 2.12819740143e-10 2.12800141803e-10 2.13480301655e-09 8.10817422557e-01 5.81243610273e-01 6.94739509453e-05
1.10000000000e+00 1.89762382511e+00 5.58564309814e-05 9.92774560342e-03 2.12819948590e-10 2.12801150170e-10 2.22423590270e-09 7.91000390737e-01 5.90884186580e-01 7.25874227995e-05
1.11000000000e+00 1.84122860048e+00 5.69006500401e-05 9.90277277901e-03 2.12820150288e-10 2.12802111780e-10 2.31473993342e-09 7.72839541471e-01 6.00574259155e-01 7.56820324221e-05
1.12000000000e+00 1.78701867882e+00 5.79324732851e-05 9.87682514559e-03 2.12820345506e-10 2.12803029247e-10 2.40606780190e-09 7.56142375041e-01 6.10314298884e-01 7.87559520134e-05
1.13000000000e+00 1.73487910142e+00 5.89517838746e-05 9.85000160564e-03 2.12820534500e-10 2.12803905017e-10 2.49797599319e-09 7.40743979821e-01 6.20104784080e-01 8.18076116041e-05
1.14000000000e+00 1.68470144951e+00 5.99584818964e-05 9.82240150677e-03 2.12820717513e-10 2.12804741381e-10 2.59022782040e-09 7.26502466227e-01 6.29946200197e-01 8.48356571142e-05
1.15000000000e+00 1.63638368222e+00 6.09524826937e-05 9.79412341570e-03 2.12820894777e-10 2.12805540483e-10 2.68259605874e-09 7.13295236764e-01 6.39839039569e-01 8.78389162127e-05
1.16000000000e+00 1.58982990117e+00 6.19337154428e-05 9.76526401374e-03 2.12821066515e-10 2.12806304331e-10 2.77486513960e-09 7.01015928332e-01 6.49783801193e-01 9.08163704746e-05
1.17000000000e+00 1.54495006940e+00 6.29021219370e-05 9.73591713311e-03 2.12821232937e-10 2.12807034808e-10 2.86683288978e-09 6.89571896254e-01 6.59780990521e-01 9.37671326124e-05
1.18000000000e+00 1.50165970503e+00 6.38576555398e-05 9.70617294495e-03 2.12821394246e-10 2.12807733681e-10 2.95831182165e-09 6.78882136019e-01 6.69831119294e-01 9.66904277965e-05
1.19000000000e+00 1.45987956389e+00 6.48002802749e-05 9.67611730242e-03 2.12821550636e-10 2.12808402608e-10 3.04912999652e-09 6.68875559799e-01 6.79934705390e-01 9.95855782723e-05
1.20000000000e+00 1.41953532129e+00 6.57299700323e-05 9.64583123594e-03 2.12821702289e-10 2.12809043145e-10 3.13913149658e-09 6.59489561507e-01 6.90092272699e-01 1.02451990638e-04
