# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP) W(GDSP)
6.70000000000e-01 1.60145838300e+01 3.03871353150e-07 6.88075085777e-03 2.19808520391e-10 2.18859409210e-10 4.21402751026e-10 1.45781559900e+01 -8.41756641810e-02 2.14374774351e-08
6.80000000000e-01 1.53779530860e+01 3.55496451363e-07 7.07973087963e-03 2.19814350784e-10 2.18925423743e-10 4.22462825695e-10 1.49861609363e+01 -8.93524510298e-02 2.43967171518e-08
6.90000000000e-01 1.47471607490e+01 4.13261647090e-07 7.26216066320e-03 2.19819905851e-10 2.18986812031e-10 4.23618041643e-10 1.53913639855e+01 -9.47669302914e-02 2.76143297731e-08
7.00000000000e-01 1.41272808718e+01 4.77414889803e-07 7.42889068101e-03 2.19825201243e-10 2.19043923554e-10 4.24873624453e-10 1.57887818930e+01 -1.00401467621e-01 3.10980994346e-08
7.10000000000e-01 1.35226708359e+01 5.48157150662e-07 7.58090168656e-03 2.19830251589e-10 2.19097082014e-10 4.26235313578e-10 1.61732294229e+01 -1.06238131866e-01 3.48573887571e-08
7.20000000000e-01 1.29368927390e+01 6.25643502777e-07 7.71924789856e-03 2.19835070563e-10 2.19146586810e-10 4.27709417384e-10 1.65394184144e+01 -1.12259160924e-01 3.89039069801e-08
7.30000000000e-01 1.23727006013e+01 7.09985869061e-07 7.84501135693e-03 2.19839670959e-10 2.19192714540e-10 4.29302866763e-10 1.68820531883e+01 -1.18447346288e-01 4.32524740473e-08
7.40000000000e-01 1.18320771695e+01 8.01256985490e-07 7.95926678745e-03 2.19844064756e-10 2.19235720491e-10 4.31023268581e-10 1.71959186741e+01 -1.24786331044e-01 4.79217820605e-08
7.50000000000e-01 1.13163042573e+01 8.99495123358e-07 8.06305578592e-03 2.19848263168e-10 2.19275840097e-10 4.32878960211e-10 1.74759589305e+01 -1.31260823408e-01 5.29351698809e-08
7.60000000000e-01 1.08260524459e+01 1.00470915657e-06 8.15736889459e-03 2.19852276709e-10 2.19313290350e-10 4.34879066236e-10 1.77173451348e+01 -1.37856733209e-01 5.83214386439e-08
7.70000000000e-01 1.03614787227e+01 1.11688363116e-06 8.24313410698e-03 2.19856115233e-10 2.19348271155e-10 4.37033558349e-10 1.79155334310e+01 -1.44561241975e-01 6.41157454148e-08
7.80000000000e-01 9.92232360233e+00 1.23598357734e-06 8.32121042763e-03 2.19859787987e-10 2.19380966613e-10 4.39353319321e-10 1.80663141433e+01 -1.51362818768e-01 7.03606197398e-08
7.90000000000e-01 9.50800203554e+00 1.36195888688e-06 8.39238527218e-03 2.19863303650e-10 2.19411546232e-10 4.41850211819e-10 1.81658546687e+01 -1.58251194013e-01 7.71071543767e-08
8.00000000000e-01 9.11768472079e+00 1.49474815141e-06 8.45737468061e-03 2.19866670372e-10 2.19440166073e-10 4.44537152769e-10 1.82107388507e+01 -1.65217302668e-01 8.44164281019e-08
8.10000000000e-01 8.75036822018e+00 1.63428191665e-06 8.51682550518e-03 2.19869895813e-10 2.19466969808e-10 4.47428193870e-10 1.81980057821e+01 -1.72253206657e-01 9.23612261966e-08
8.20000000000e-01 8.40493355931e+00 1.78048535161e-06 8.57131890923e-03 2.19872987173e-10 2.19492089715e-10 4.50538608810e-10 1.81251908136e+01 -1.79352004811e-01 1.01028133891e-07
8.30000000000e-01 8.08019383150e+00 1.93328036235e-06 8.62137466597e-03 2.19875951225e-10 2.19515647598e-10 4.53884987667e-10 1.79903710812e+01 -1.86507736837e-01 1.10520090407e-07
8.40000000000e-01 7.77493182183e+00 2.09258719747e-06 8.66745587430e-03 2.19878794342e-10 2.19537755640e-10 4.57485338936e-10 1.77922171253e+01 -1.93715286259e-01 1.20959506867e-07
8.50000000000e-01 7.48792890581e+00 2.25832560181e-06 8.70997381339e-03 2.19881522528e-10 2.19558517189e-10 4.61359199538e-10 1.75300511873e+01 -2.00970285901e-01 1.32492070559e-07
8.60000000000e-01 7.21798654153e+00 2.43041557581e-06 8.74929273997e-03 2.19884141437e-10 2.19578027484e-10 4.65527753137e-10 1.72039115449e+01 -2.08269028328e-01 1.45291381178e-07
8.70000000000e-01 6.96394162603e+00 2.60877779512e-06 8.78573449638e-03 2.19886656397e-10 2.19596374321e-10 4.70013956991e-10 1.68146208262e+01 -2.15608382750e-01 1.59564591383e-07
8.80000000000e-01 6.72467687395e+00 2.79333373838e-06 8.81958284555e-03 2.19889072436e-10 2.19613638668e-10 4.74842677459e-10 1.63638546722e+01 -2.22985719205e-01 1.75559253889e-07
8.90000000000e-01 6.49912723425e+00 2.98400556308e-06 8.85108748494e-03 2.19891394295e-10 2.19629895230e-10 4.80040834202e-10 1.58542054829e+01 -2.30398840299e-01 1.93571608647e-07
9.00000000000e-01 6.28628320978e+00 3.18071576045e-06 8.88046771712e-03 2.19893626451e-10 2.19645212959e-10 4.85637552911e-10 1.52892344326e+01 -2.37845920436e-01 2.13956573673e-07
9.10000000000e-01 6.08519180138e+00 3.38338661112e-06 8.90791577308e-03 2.19895773130e-10 2.19659655534e-10 4.91664326260e-10 1.46735036587e+01 -2.45325452217e-01 2.37139726765e-07
9.20000000000e-01 5.89495566883e+00 3.59193945489e-06 8.93359979647e-03 2.19897838327e-10 2.19673281795e-10 4.98155182504e-10 1.40125797684e+01 -2.52836199529e-01 2.63631574385e-07
9.30000000000e-01 5.71473099252e+00 3.80629377997e-06 8.95766650507e-03 2.19899825818e-10 2.19686146131e-10 5.05146860872e-10 1.33129998453e+01 -2.60377156767e-01 2.94044385750e-07
9.40000000000e-01 5.54372443221e+00 4.02636613042e-06 8.98024355077e-03 2.19901739173e-10 2.19698298854e-10 5.12678992564e-10 1.25821922357e+01 -2.67947513591e-01 3.29111805730e-07
9.50000000000e-01 5.38118951486e+00 4.25206882576e-06 9.00144160165e-03 2.19903581772e-10 2.19709786525e-10 5.20794285706e-10 1.18283467505e+01 -2.75546624630e-01 3.69711322839e-07
9.60000000000e-01 5.22642274179e+00 4.48330848396e-06 9.02135617104e-03 2.19905356811e-10 2.19720652259e-10 5.29538712141e-10 1.10602325678e+01 -2.83173983546e-01 4.16889423104e-07
9.70000000000e-01 5.07875968592e+00 4.71998434028e-06 9.04006921823e-03 2.19907067321e-10 2.19730936006e-10 5.38961693353e-10 1.02869669119e+01 -2.90829200929e-01 4.71888863596e-07
9.80000000000e-01 4.93757135041e+00 4.96198635955e-06 9.05765054474e-03 2.19908716170e-10 2.19740674800e-10 5.49116282100e-10 9.51774306734e+00 -2.98511985528e-01 5.36176904066e-07
9.90000000000e-01 4.80226107782e+00 5.20919315156e-06 9.07415900914e-03 2.19910306078e-10 2.19749902998e-10 5.60059335577e-10 8.76153181548e+00 -3.06222128363e-01 6.11472502707e-07
1.00000000000e+00 4.67226232486e+00 5.46146971883e-06 9.08964358169e-03 2.19911839624e-10 2.19758652489e-10 5.71851675056e-10 8.02677509479e+00 -3.13959489329e-01 6.99769402530e-07
1.01000000000e+00 4.54703764059e+00 5.71866509515e-06 9.10414425924e-03 2.19913319254e-10 2.19766952890e-10 5.84558225939e-10 7.32109373205e+00 -3.21723985921e-01 8.03350761663e-07
1.02000000000e+00 4.42607918313e+00 5.98060997252e-06 9.11769285883e-03 2.19914747292e-10 2.19774831725e-10 5.98248131132e-10 6.65103175869e+00 -3.29515583785e-01 9.24789675400e-07
1.03000000000e+00 4.30891105528e+00 6.24711446177e-06 9.13031370781e-03 2.19916125940e-10 2.19782314588e-10 6.12994829506e-10 6.02185773983e+00 -3.37334288804e-01 1.06692891512e-06
1.04000000000e+00 4.19509360112e+00 6.51796618349e-06 9.14202424660e-03 2.19917457294e-10 2.19789425293e-10 6.28876090052e-10 5.43743878435e+00 -3.45180140480e-01 1.23283295700e-06
1.05000000000e+00 4.08422955928e+00 6.79292893270e-06 9.15283555975e-03 2.19918743343e-10 2.19796186013e-10 6.45973991204e-10 4.90019602554e+00 -3.53053206404e-01 1.42570650377e-06
1.06000000000e+00 3.97597161198e+00 7.07174218832e-06 9.16275284965e-03 2.19919985977e-10 2.19802617401e-10 6.64374833711e-10 4.41114230405e+00 -3.60953577624e-01 1.64877678707e-06
1.07000000000e+00 3.87003044422e+00 7.35412173198e-06 9.17177586704e-03 2.19921186996e-10 2.19808738710e-10 6.84168974501e-10 3.96999470319e+00 -3.68881364755e-01 1.90514221553e-06
1.08000000000e+00 3.76618202684e+00 7.63976158438e-06 9.17989931131e-03 2.19922348111e-10 2.19814567900e-10 7.05450568293e-10 3.57534763577e+00 -3.76836694693e-01 2.19759695118e-06
1.09000000000e+00 3.66427260236e+00 7.92833735487e-06 9.18711321345e-03 2.19923470949e-10 2.19820121729e-10 7.28317203300e-10 3.22488731402e+00 -3.84819707812e-01 2.52844837578e-06
1.10000000000e+00 3.56421992164e+00 8.21951093895e-06 9.19340331392e-03 2.19924557061e-10 2.19825415850e-10 7.52869417481e-10 2.91562623830e+00 -3.92830555572e-01 2.89934997480e-06
1.11000000000e+00 3.46600973096e+00 8.51293631480e-06 9.19875144676e-03 2.19925607922e-10 2.19830464888e-10 7.79210082412e-10 2.64413695149e+00 -4.00869398457e-01 3.31117361297e-06
1.12000000000e+00 3.36968729146e+00 8.80826602228e-06 9.20313594105e-03 2.19926624939e-10 2.19835282516e-10 8.07443643269e-10 2.40676738818e+00 -4.08936404204e-01 3.76394109151e-06
1.13000000000e+00 3.27534463842e+00 9.10515779967e-06 9.20653204952e-03 2.19927609451e-10 2.19839881526e-10 8.37675205658e-10 2.19982497098e+00 -4.17031746290e-01 4.25682564929e-06
1.14000000000e+00 3.18310508875e+00 9.40328083215e-06 9.20891241310e-03 2.19928562737e-10 2.19844273894e-10 8.70009463302e-10 2.01972220254e+00 -4.25155602648e-01 4.78822203004e-06
1.15000000000e+00 3.09310694579e+00 9.70232113775e-06 9.21024756861e-03 2.19929486013e-10 2.19848470834e-10 9.04549464996e-10 1.86308188663e+00 -4.33308154620e-01 5.35587231967e-06
1.16000000000e+00 3.00548832650e+00 1.00019857602e-05 9.21050650487e-03 2.19930380442e-10 2.19852482859e-10 9.41395224818e-10 1.72680450018e+00 -4.41489586094e-01 5.95702706911e-06
1.17000000000e+00 2.92037460860e+00 1.03020056147e-05 9.20965727003e-03 2.19931247132e-10 2.19856319823e-10 9.80642186304e-10 1.60810318967e+00 -4.49700082849e-01 6.58861881782e-06
1.18000000000e+00 2.83786934266e+00 1.06021370015e-05 9.20766763039e-03 2.19932087142e-10 2.19859990973e-10 1.02237955897e-09 1.50451331644e+00 -4.57939832047e-01 7.24742766288e-06
1.19000000000e+00 2.75804880594e+00 1.09021619363e-05 9.20450577728e-03 2.19932901482e-10 2.19863504989e-10 1.06668855410e-09 1.41388365595e+00 -4.66209021872e-01 7.93022423889e-06
1.20000000000e+00 2.68095984654e+00 1.12018875209e-05 9.20014107565e-03 2.19933691118e-10 2.19866870024e-10 1.11364055540e-09 1.33435565674e+00 -4.74507841290e-01 8.63388222095e-06
